branded_food_category,"Carbohydrate, by difference_count","Carbohydrate, by difference_mean","Carbohydrate, by difference_std","Carbohydrate, by difference_min","Carbohydrate, by difference_25%","Carbohydrate, by difference_50%","Carbohydrate, by difference_75%","Carbohydrate, by difference_max",Cholesterol_count,Cholesterol_mean,Cholesterol_std,Cholesterol_min,Cholesterol_25%,Cholesterol_50%,Cholesterol_75%,Cholesterol_max,Energy_count,Energy_mean,Energy_std,Energy_min,Energy_25%,Energy_50%,Energy_75%,Energy_max,"Fiber, total dietary_count","Fiber, total dietary_mean","Fiber, total dietary_std","Fiber, total dietary_min","Fiber, total dietary_25%","Fiber, total dietary_50%","Fiber, total dietary_75%","Fiber, total dietary_max",Protein_count,Protein_mean,Protein_std,Protein_min,Protein_25%,Protein_50%,Protein_75%,Protein_max,"Sugars, total including NLEA_count","Sugars, total including NLEA_mean","Sugars, total including NLEA_std","Sugars, total including NLEA_min","Sugars, total including NLEA_25%","Sugars, total including NLEA_50%","Sugars, total including NLEA_75%","Sugars, total including NLEA_max",Total lipid (fat)_count,Total lipid (fat)_mean,Total lipid (fat)_std,Total lipid (fat)_min,Total lipid (fat)_25%,Total lipid (fat)_50%,Total lipid (fat)_75%,Total lipid (fat)_max,PE_ratio_count,PE_ratio_mean,PE_ratio_std,PE_ratio_min,PE_ratio_25%,PE_ratio_50%,PE_ratio_75%,PE_ratio_max
Canned Seafood,3544.0,2.5463064334085774,4.51867812264479,0.0,0.0,0.0,3.57,69.23,3544.0,151.247460496614,2118.2636700851476,0.0,41.0,64.0,82.0,76471.0,3544.0,161.81207674943568,78.87733081993663,2.0,107.0,153.0,202.0,2009.0,3544.0,0.2501128668171552,0.8127129790733526,0.0,0.0,0.0,0.0,8.5,3544.0,18.18816309255076,6.323977831138422,0.0,14.29,18.67,21.82,167.27,3544.0,0.954525959367947,2.7578479198823147,0.0,0.0,0.0,0.0,38.33,3544.0,8.780688487584605,7.902968036616115,0.0,2.5,7.195,12.63,149.09,3544.0,12.957043245255328,5.165559453913516,0.0,8.871951219512194,12.368098159509202,16.30344827586207,30.027027027027028
Canned Soup,7987.0,4.974460999123548,7.8940901596294255,0.0,0.42,4.49,7.76,262.5,7987.0,3.1513709778389885,6.908003326098867,0.0,0.0,0.0,4.0,111.0,7987.0,40.894829097283086,57.85951930330815,2.0,5.0,37.0,58.0,1000.0,7987.0,0.5913985225992207,1.0290118557439318,0.0,0.0,0.4,0.8,25.7,7987.0,2.6653837485914633,8.007736075333199,0.0,0.49,1.63,2.86,175.0,7987.0,1.1869738324777532,5.64113782029216,0.0,0.41,0.42,1.22,250.0,7987.0,1.1301201953173845,2.1410026324254128,0.0,0.0,0.41,1.22,25.0,7987.0,8.979601405697409,7.488965099399831,0.0,3.4878048780487805,6.0,13.833333333333334,41.5
Canned Tuna,2566.0,0.9100233826968034,2.3755680390645373,0.0,0.0,0.0,0.0,45.45,2566.0,194.02922837100544,2631.7284622373877,0.0,35.0,43.0,49.0,53571.0,2566.0,127.12003117692907,45.43361384714527,43.0,106.0,113.0,130.0,382.0,2566.0,0.17287607170693645,0.5697276031146713,0.0,0.0,0.0,0.0,4.7,2566.0,22.87071706936849,4.122216188923524,0.0,19.64,23.21,25.66,41.07,2566.0,0.3838698363211224,1.312747824560024,0.0,0.0,0.0,0.0,9.86,2566.0,3.364466095089671,4.808562709258256,0.0,0.7,1.18,4.46,29.63,2566.0,19.34713756038786,4.967500162318866,0.0,15.712,21.69158878504673,22.856,49.83720930232558
Canned Vegetables,14720.0,7.287175951087014,5.447111054484432,0.0,3.33,6.19,9.6,80.0,14720.0,0.045108695652173916,0.9951321094975553,0.0,0.0,0.0,0.0,36.0,14720.0,39.23539402173913,29.7043558652424,6.0,17.0,33.0,52.0,545.0,14720.0,1.7639470108695405,1.2179901527264685,0.0,0.9,1.7,2.4,26.0,14720.0,1.4188580163044369,1.4673334327609069,0.0,0.8,0.86,1.69,66.67,14720.0,2.7247880434782914,3.059100949080454,0.0,0.83,1.67,4.0,61.73,14720.0,0.3525658967391356,1.6510806131498397,0.0,0.0,0.0,0.4,52.86,14720.0,4.406878164113497,3.2447703985501577,0.0,2.2222222222222223,3.9761904761904763,5.714285714285714,69.41666666666667
Cereal,28401.0,74.65243230871907,14.749541808085564,0.02,67.86,77.14,83.87,831.48,28401.0,1.9195450864406183,177.33391507325484,0.0,0.0,0.0,0.0,21127.0,28401.0,388.43072427027215,53.18639954754728,21.0,370.0,385.0,405.0,1929.0,28401.0,7.0722897081090395,4.247064570358983,0.0,4.2,7.1,10.0,70.7,28401.0,8.963504101968672,4.48426755866977,0.0,6.45,8.47,10.71,77.78,28401.0,22.87231224252711,13.711198666607265,0.0,13.95,23.08,32.5,361.36,28401.0,7.275154748072634,7.8062812401857125,0.0,2.78,5.0,9.33,176.36,28401.0,2.3422268801602817,1.3409607122476155,0.0,1.6666666666666667,2.216494845360825,2.7985611510791366,65.78947368421052
Cereal/Muesli Bars,208.0,65.52235576923077,10.873292535327428,37.14,56.114999999999995,66.2,76.35,79.5,208.0,1.7884615384615385,6.342362864408466,0.0,0.0,0.0,1.0,32.0,208.0,413.6298076923077,37.25460741808835,337.0,399.75,412.0,432.25,543.0,208.0,5.693269230769234,4.198096288665107,0.0,1.375,6.5,9.325000000000001,15.1,208.0,9.265096153846146,6.972846228891943,2.7,4.1,5.75,13.525,27.0,208.0,29.20850961538462,6.687637971119354,9.1,25.375,30.25,34.5,51.5,208.0,13.895384615384616,5.981713909961904,4.9,10.0,11.8,17.1,40.0,208.0,2.2192219609554398,1.660474408672066,0.6108597285067874,0.9768591643767445,1.4388566247963421,2.9530154586254436,7.135278514588859
Cereals Products - Not Ready to Eat (Shelf Stable),8.0,63.675,2.36929766567467,61.9,62.05,62.7,64.325,67.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,368.25,4.496029994816062,361.0,367.75,370.5,371.0,371.0,8.0,9.125,0.265921578128376,8.7,9.075,9.25,9.3,9.3,8.0,14.774999999999999,0.5147815070493503,14.1,14.475,14.8,15.1,15.4,8.0,22.775000000000002,0.7186296483088991,22.0,22.299999999999997,22.65,23.125,23.8,8.0,9.125,1.134837936824965,7.8,8.25,9.15,10.025,10.4,8.0,4.013047208455665,0.1568839401428893,3.810810810810811,3.9041851824870695,4.0431266846361185,4.151988710604714,4.1551246537396125
Cereals Products - Ready to Eat (Shelf Stable),258.0,77.58337209302326,8.8774939426324,36.67,73.4,80.05,84.1,90.4,258.0,0.04263565891472868,0.37701989209427383,0.0,0.0,0.0,0.0,4.0,258.0,377.85271317829455,39.384189834912604,257.0,354.0,371.0,393.0,600.0,258.0,8.957751937984499,4.854036587330596,0.7,7.025,8.6,10.9,42.5,258.0,9.985193798449606,4.511740689345867,3.57,7.18,8.850000000000001,11.1,31.2,258.0,23.254341085271307,8.267247961912895,0.4,17.8,22.25,29.7,42.0,258.0,6.166472868217054,6.142611166819189,0.3,1.8,4.0649999999999995,8.2,46.67,258.0,2.671717492446265,1.2637884036677594,0.8321678321678322,1.8644067796610169,2.3622047244094486,2.9027058621035873,8.666666666666666
Cheese,52955.0,4.881823057315248,5.567364590846794,0.0,2.75,3.57,6.45,96.43,52955.0,197.61125483901426,3279.0860591823084,0.0,54.0,89.0,104.0,119048.0,52955.0,321.38200358795206,94.75732711226362,21.0,286.0,357.0,393.0,1429.0,52955.0,0.17446322349164775,0.8752497808157401,0.0,0.0,0.0,0.0,26.8,52955.0,20.181341894064467,11.352323356205606,0.0,14.29,21.43,25.0,1040.0,52955.0,1.9019801718440559,3.626034131323793,0.0,0.0,0.0,3.54,49.3,52955.0,24.864356529126944,9.61383442018453,0.0,21.43,28.57,32.14,376.19,52955.0,6.6441868738557535,3.668831526913248,0.0,5.4529262086514,6.361323155216285,7.493006993006993,208.0
Cheese/Cheese Substitutes,38.0,17.747105263157902,8.512079781395169,5.26,8.6775,19.0,23.94,28.57,38.0,45.0,20.65678345490175,24.0,25.0,44.0,56.0,86.0,38.0,264.0,68.36112377106774,175.0,218.0,238.0,316.0,378.0,38.0,0.7973684210526313,0.9373588087136724,0.0,0.0,0.7,1.0,2.7,38.0,13.84552631578947,4.181627574876133,9.52,9.86,12.28,16.0,22.0,38.0,2.9965789473684215,1.7235636814081263,0.0,1.41,3.51,4.23,7.14,38.0,14.823157894736841,6.774855779960214,8.33,8.45,12.28,19.0,28.0,38.0,5.284982675557276,1.0192121392569191,4.0,4.522935779816514,5.385269121813032,5.794079365079366,7.017142857142857
Chewing Gum & Mints,686.0,88.2320408163266,51.76631857583346,27.78,75.0,85.2,100.0,1000.0,686.0,0.06997084548104957,0.9143155067393942,0.0,0.0,0.0,0.0,12.0,686.0,357.93002915451893,106.5383426499481,56.0,312.0,350.0,400.0,1364.0,686.0,0.2193877551020408,2.6581625130485986,0.0,0.0,0.0,0.0,40.0,686.0,0.15607871720116615,0.7850692021654591,0.0,0.0,0.0,0.0,7.5,686.0,72.6619387755103,27.082452824295398,0.0,70.0,75.0,90.0,107.69,686.0,1.292930029154519,5.579110178200349,0.0,0.0,0.0,0.0,34.21,686.0,0.031158614623546615,0.15214422017433823,0.0,0.0,0.0,0.0,1.3636363636363635
Childcare,2.0,98.215,2.5243712088359698,96.43,97.3225,98.215,99.1075,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,375.0,25.45584412271571,357.0,366.0,375.0,384.0,393.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.215,2.5243712088359698,71.43,72.3225,73.215,74.1075,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Children's Natural Remedies,1.0,68.18,,68.18,68.18,68.18,68.18,68.18,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,455.0,,455.0,455.0,455.0,455.0,455.0,1.0,22.7,,22.7,22.7,22.7,22.7,22.7,1.0,4.55,,4.55,4.55,4.55,4.55,4.55,1.0,18.18,,18.18,18.18,18.18,18.18,18.18,1.0,15.91,,15.91,15.91,15.91,15.91,15.91,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
Children's Nutritional Supplements,26.0,26.536538461538466,22.488758425899412,9.7,13.11,13.92,29.41,85.71,26.0,36.03846153846154,167.49745807485698,0.0,0.0,2.0,4.0,857.0,26.0,237.0,163.64791474381823,76.0,98.0,101.0,401.0,500.0,26.0,2.5999999999999988,3.1786789708934124,0.0,0.5,1.3,4.675,14.3,26.0,18.250769230769233,22.68457201237474,0.0,2.9275,4.22,36.3125,58.82,26.0,15.893846153846159,18.962119728959227,4.1,5.91,7.17,11.76,71.43,26.0,6.733461538461539,6.479226461427439,0.0,2.82,3.8,8.5875,28.57,26.0,6.140427455042085,4.864728290858788,0.0,2.9227369165487977,3.754504504504505,7.817157894736841,14.30163043478261
Chili & Stew,4510.0,11.820348115299316,6.247540570049902,0.0,8.05,11.54,13.65,66.67,4510.0,10.744789356984478,17.177657357672576,0.0,0.0,8.0,15.0,935.0,4510.0,103.11463414634146,42.17092271969966,9.0,81.0,98.0,113.0,608.0,4510.0,2.2189800443458725,1.9610611334615953,0.0,0.9,1.9,2.9,27.3,4510.0,5.16687804878048,2.652855228079792,0.0,3.53,4.8,6.52,40.54,4510.0,2.460607538802679,3.740712480162936,0.0,0.85,1.67,2.82,50.0,4510.0,4.013039911308218,3.638880632297967,0.0,1.42,3.41,5.08,53.33,4510.0,5.130027739940273,2.549167026905762,0.0,3.8571428571428577,5.0,5.832964601769911,81.63636363636364
"Chips, Pretzels & Snacks",37001.0,60.047215480659176,12.481739229133714,0.0,53.57,60.0,64.29,950.0,37001.0,1.6084970676468204,74.74044143683427,0.0,0.0,0.0,0.0,7143.0,37001.0,495.86259830815385,98.94114978241751,20.0,464.0,500.0,536.0,6500.0,37001.0,4.990381341047127,3.6875005330989485,0.0,3.6,3.6,6.7,75.0,37001.0,8.112113726660816,6.7472382482015965,0.0,7.05,7.14,7.14,139.29,37001.0,4.317231966705246,6.824895863570178,0.0,0.0,3.57,3.57,225.0,37001.0,25.11078619496643,10.202416596120246,0.0,21.43,28.2,32.14,250.0,37001.0,1.728664495405986,1.705767759312526,0.0,1.2504378283712785,1.3339622641509434,1.5387931034482758,39.69444444444444
Chips/Crisps/Snack Mixes - Natural/Extruded (Shelf Stable),155.0,59.989225806451614,7.6357948527377255,27.3,56.5,57.2,59.849999999999994,90.0,155.0,0.7290322580645161,1.856227417701125,0.0,0.0,0.0,1.0,17.0,155.0,502.1741935483871,54.264641137249804,242.0,503.5,524.0,529.0,571.0,155.0,2.889032258064515,2.1420516849578073,0.0,2.4,2.5,2.6,12.3,155.0,4.706645161290321,1.9648073424008803,0.0,4.3,4.4,4.7,11.8,155.0,6.205419354838704,10.45817273396214,1.3,2.45,3.1,4.3,50.0,155.0,27.238516129032252,8.595728083782232,0.0,27.45,31.0,31.7,33.4,155.0,0.9437671634526196,0.4848330135634391,0.0,0.8097928436911488,0.841300191204589,0.9125475285171103,2.9573934837092732
Chocolate,28438.0,56.50235776074195,18.630413610898824,0.0,50.0,57.5,62.86,1100.0,28438.0,35.447640481046484,737.268493117166,0.0,0.0,12.0,17.0,41667.0,28438.0,515.7726985020043,234.41724382021258,9.0,475.0,514.0,550.0,17000.0,28438.0,4.453069836134959,4.988868034855461,0.0,2.3,3.0,5.7,220.0,28438.0,6.723557563823696,9.60947954210033,0.0,4.35,5.56,7.14,300.0,28438.0,45.58885645966635,15.504815617492307,0.0,39.29,47.83,54.84,500.0,28438.0,31.388238624375592,19.828179530164125,0.0,25.58,31.25,37.14,1300.0,28438.0,1.344557562614426,1.934623467683482,0.0,0.869158878504673,1.0718954248366013,1.3634751773049645,65.33333333333333
Coffee,452.0,60.25247787610617,51.534548724618375,0.0,20.0,60.0,74.07,287.5,452.0,19.471238938053098,50.0409727047515,0.0,0.0,0.0,5.0,333.0,452.0,423.8119469026549,346.9175605614582,6.0,230.0,411.5,473.0,1850.0,452.0,14.951327433628315,140.60989523079434,0.0,0.0,0.0,4.0,1730.0,452.0,10.498584070796468,22.42114048804143,0.0,0.0,5.0,8.66,215.0,452.0,40.647079646017666,51.49204173641137,0.0,3.85,33.33,56.52,287.5,452.0,16.991946902654863,19.664110548185878,0.0,0.195,11.95,26.67,168.92,452.0,2.1565275926316545,2.976084781757292,0.0,0.0,1.4282655246252676,2.857142857142857,18.166212534059945
Coffee/Tea/Substitutes,128.0,35.93484375000001,79.80048287881428,0.59,5.51,8.215,11.58,335.77,128.0,10.1953125,32.858814801173146,0.0,0.0,3.0,5.0,146.0,128.0,181.7734375,434.08084110187656,2.0,32.0,47.0,63.25,1898.0,128.0,0.014062499999999999,0.05133551057181845,0.0,0.0,0.0,0.0,0.2,128.0,3.361718750000001,9.80816356986307,0.0,0.01,1.25,2.11,43.8,128.0,34.43960937499998,76.88060172692104,0.39,5.5,7.08,10.8975,321.17,128.0,2.8728125000000007,9.894083966662608,0.0,0.0,0.56,1.0425,43.8,128.0,2.117183796454898,1.8937475657751184,0.0,0.047619047619047616,2.3076923076923075,3.586206896551724,6.0285714285714285
"Condiments, Oils & Dressing",20.0,6.8825,4.420563044633449,0.0,4.5225,6.67,8.06,22.22,20.0,3.2,9.13984912923967,0.0,0.0,0.0,0.0,40.0,20.0,239.05,184.64089613711204,33.0,141.0,213.0,275.25,923.0,20.0,0.49000000000000005,1.0784491789504722,0.0,0.0,0.0,0.0,3.3,20.0,1.9774999999999998,2.594155120549595,0.0,0.0,0.805,3.33,8.06,20.0,2.6885,5.080781410063033,0.0,0.0,0.805,3.33,22.22,20.0,22.916999999999998,21.00734861398443,0.0,10.8875,20.0,27.5025,100.0,20.0,0.8145302987353267,1.007020797013863,0.0,0.0,0.5,1.2474087623029353,3.566371681415929
Confection & Snacks,46.0,53.41152173913044,18.869014337725613,3.57,45.417500000000004,57.5,65.38,83.33,46.0,5.978260869565218,17.88045379791362,0.0,0.0,0.0,0.0,107.0,46.0,470.5,97.77019541307622,44.0,442.0,465.5,521.0,640.0,46.0,5.536956521739129,3.378978063501329,0.0,3.075,5.95,7.7,12.5,46.0,10.703478260869565,6.29756468535128,0.0,5.8374999999999995,9.809999999999999,14.29,26.53,46.0,22.655869565217387,18.45535436621602,0.0,4.45,21.625,33.402499999999996,66.67,46.0,25.029782608695644,13.815706599395474,0.0,16.4375,23.939999999999998,34.6,57.14,46.0,2.217355628870918,1.2670469701370133,0.0,1.304186130075458,2.1413276231263385,3.079436519471211,6.361323155216285
Confectionery Products,345.0,69.13904347826086,18.85135304381111,17.0,53.66,64.1,87.18,100.0,345.0,6.252173913043478,8.950292458123684,0.0,0.0,0.0,12.0,30.0,345.0,446.32173913043476,111.26596157976152,70.0,357.0,488.0,548.0,675.0,345.0,2.4953623188405785,3.291917771669946,0.0,0.0,0.0,3.0,12.5,345.0,3.6895072463768104,3.817148963555965,0.0,0.0,4.55,6.67,12.5,345.0,55.356057971014515,18.81606500941393,0.0,43.33,58.97,74.36,91.67,345.0,18.182637681159427,18.710170246117272,0.0,0.0,23.68,33.33,57.5,345.0,0.6969583610287239,0.7117951675353473,0.0,0.0,0.8695652173913043,1.25,2.38
Cooked & Prepared,3335.0,6.349706146926557,6.844022957556346,0.0,1.19,3.57,10.59,36.15,3335.0,122.12233883058471,1632.2678003903877,0.0,45.0,54.0,71.0,43269.0,3335.0,173.02098950524737,71.07104713223445,7.0,125.0,157.0,211.0,533.0,3335.0,0.18377811094452742,0.45476626553579347,0.0,0.0,0.0,0.0,5.2,3335.0,18.13158920539734,5.438295764391549,1.27,14.29,17.86,21.43,50.0,3335.0,4.136419790104955,5.791213004723145,0.0,0.0,1.19,7.06,35.71,3335.0,8.16576611694156,7.218841391183545,0.0,2.72,5.95,11.74,51.76,3335.0,12.091733134163183,7.704501141578273,1.859683794466403,7.123966942148759,11.266355140186915,16.395209580838323,238.14285714285717
Cookies & Biscuits,40445.0,65.8714896773392,22.802836853722887,0.0,60.87,66.67,71.43,1840.0,40445.0,31.2024972184448,1060.685756409043,0.0,0.0,0.0,23.0,136426.0,40445.0,459.4641859315119,164.5811285143262,20.0,424.0,464.0,500.0,13600.0,40445.0,2.6049647669676386,3.147382922849702,0.0,0.0,2.9,3.6,200.0,40445.0,5.52390258375721,3.9174557621382853,0.0,3.45,4.55,6.67,118.18,40445.0,33.61435183582798,16.524258236285306,0.0,26.67,33.33,40.0,1080.0,40445.0,20.011295586599804,10.334352608948503,0.0,15.79,20.0,24.14,640.0,40445.0,1.2381340241366567,1.0337142389614498,0.0,0.7146017699115044,1.0,1.4282655246252676,33.35
Crackers & Biscotti,12787.0,66.38785407053993,13.807293803305035,0.0,61.4,68.18,73.33,133.33,12787.0,7.479236724798624,24.053389761075735,0.0,0.0,0.0,0.0,433.0,12787.0,433.07445061390473,68.23784047086542,44.0,400.0,433.0,467.0,1607.0,12787.0,4.2326347071242765,4.292305670181054,0.0,0.0,3.3,6.7,50.0,12787.0,8.798027684366696,4.357454630879679,0.0,6.67,7.41,10.71,66.67,12787.0,8.703792132634735,10.887007301607524,0.0,0.0,6.25,11.76,76.67,12787.0,14.850245561898758,9.080546387688758,0.0,9.7,14.29,21.1,150.0,12787.0,2.0767990433925023,1.0540112074416974,0.0,1.4282655246252676,1.8174386920980927,2.4965034965034967,25.25
Cream,4995.0,6.794512512512486,6.303991496515591,0.0,3.33,6.67,6.67,77.0,4995.0,77.07167167167167,707.7619221139621,0.0,33.0,67.0,100.0,50000.0,4995.0,205.61501501501502,90.55151255769519,15.0,133.0,200.0,300.0,778.0,4995.0,0.03193193193193192,0.41196484001269335,0.0,0.0,0.0,0.0,10.0,4995.0,2.5566566566566165,2.6265124546521443,0.0,0.0,3.33,3.33,53.33,4995.0,5.146710710710776,5.3057507707094205,0.0,3.33,3.33,6.67,41.86,4995.0,17.730706706706556,10.567202216115426,0.0,10.0,16.67,20.0,77.78,4995.0,1.8132121843478697,1.8298284038578623,0.0,0.0,1.665,2.5037593984962405,20.084337349397593
Cream/Cream Substitutes,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,5.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
"Croissants, Sweet Rolls, Muffins & Other Pastries",9159.0,56.21003493831324,25.608482604069046,0.0,46.67,53.21,70.83,1080.0,9159.0,99.11103832296102,2337.7180277373477,0.0,0.0,9.0,51.0,77778.0,9159.0,380.51970739163664,200.88644191587912,14.0,354.0,385.0,400.0,9600.0,9159.0,1.9250027295555925,2.4275182770169335,0.0,1.0,1.8,2.0,67.7,9159.0,5.079528332787208,5.6534187037779535,0.0,3.85,4.42,5.63,200.0,9159.0,26.865344469920288,12.727883086814073,0.0,22.58,28.12,32.05,440.0,9159.0,15.622396549841302,12.5427784302676,0.0,9.62,15.22,19.57,520.0,9159.0,1.3710075484969604,1.2706457390540524,0.0,1.0,1.1772151898734178,1.4987012987012986,49.857142857142854
Crusts & Dough,5140.0,52.48931517509694,9.986557417362832,1.18,45.61,52.53,60.61,86.76,5140.0,21.28365758754864,830.3099380318813,0.0,0.0,0.0,18.0,59524.0,5140.0,365.7610894941634,85.52757489207355,6.0,298.0,357.0,433.0,700.0,5140.0,1.4620038910506121,1.9726061952113092,0.0,0.0,1.5,2.3,33.3,5140.0,5.582883268482338,2.4441398704167985,0.0,4.04,5.26,6.25,33.33,5140.0,18.881291828793795,14.18215900962912,0.0,6.225,19.05,33.33,64.29,5140.0,14.893066147859871,7.840267349696239,0.0,10.1,15.79,21.05,64.29,5140.0,1.741116331913946,3.5662040636788537,0.0,1.0,1.3343108504398826,2.0,245.66666666666666
Dairy/Egg Based Products / Meals,28.0,1.9560714285714293,0.8472278948548059,0.0,2.17,2.17,2.17,4.35,28.0,1.0714285714285714,2.9929370119786944,0.0,0.0,0.0,0.0,11.0,28.0,53.285714285714285,3.9894039548965097,43.0,54.0,54.0,54.0,65.0,28.0,0.3,0.7102425250887505,0.0,0.0,0.0,0.0,2.2,28.0,10.485,0.7909277253116537,8.7,10.87,10.87,10.87,10.87,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.07785714285714286,0.28586913793056445,0.0,0.0,0.0,0.0,1.09,28.0,19.743575072644834,1.5412544590104607,13.384615384615383,20.12962962962963,20.12962962962963,20.12962962962963,21.822222222222223
Deli Salads,3762.0,15.254396597554509,9.641013809212003,0.0,9.0,14.29,18.57,69.39,3762.0,28.167995746943117,225.68456634182144,0.0,3.0,12.0,31.0,10714.0,3762.0,199.3242955874535,82.04983271783733,2.0,143.0,193.0,245.0,571.0,3762.0,1.542238171185537,2.0160891240670673,0.0,0.7,1.3,2.0,50.0,3762.0,6.016416799574719,12.925430734198962,0.0,2.86,4.29,8.0,750.0,3762.0,5.235401382243489,4.450753762209802,0.0,2.0,4.0,7.08,46.43,3762.0,12.959003189792673,8.379368964233318,0.0,7.8175,12.0,16.98,189.0,3762.0,3.0623247987125355,5.0132776908344105,0.0,1.5789473684210527,2.380952380952381,3.908302857916836,276.7527675276753
Desserts/Dessert Sauces/Toppings,372.0,41.0477150537634,28.20224655834095,0.54,27.017500000000002,43.55,48.4125,516.67,372.0,9.03225806451613,19.468518571595975,0.0,0.0,0.0,9.0,100.0,372.0,298.0403225806452,147.14204951774937,5.0,261.25,321.0,374.0,2000.0,372.0,1.6244623655913981,1.2869732900311852,0.0,0.9,1.6,2.3,6.6,372.0,3.892446236559137,2.4588973017387152,0.0,1.61,4.71,5.88,8.45,372.0,20.000860215053784,25.531778946741245,0.0,14.13,17.674999999999997,22.58,483.33,372.0,13.160887096774216,8.507628605784163,0.0,3.735,13.024999999999999,20.0,58.06,372.0,1.2827116899389883,0.7886351909781716,0.0,0.8571428571428571,1.4289693593314763,1.8718861209964412,4.984848484848484
Digestive & Fiber Supplements,30.0,48.057,29.83484148695489,4.55,25.0,40.065,66.67,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,421.26666666666665,163.17051232362428,23.0,376.0,500.0,500.0,583.0,30.0,25.020000000000003,21.76327815063873,0.0,15.4,16.7,33.3,75.0,30.0,11.590666666666666,13.86311079518375,0.0,0.0,7.125,16.67,51.72,30.0,11.671333333333333,17.75282177344042,0.0,0.0,3.725,8.33,50.0,30.0,23.747000000000003,18.559830957538747,0.0,0.0,33.33,35.332499999999996,50.0,30.0,2.675097421804404,3.3907740076606188,0.0,0.0,2.2627013630731105,3.3340000000000005,13.646437994722955
Dips & Salsa,19085.0,12.312560125754146,10.581611768267594,0.0,6.67,9.68,14.29,146.43,19085.0,34.75158501440922,1494.3533851052598,0.0,0.0,0.0,0.0,100000.0,19085.0,138.7669373853812,112.78710664874025,7.0,33.0,117.0,214.0,811.0,19085.0,2.2621744825778,2.4891961455885783,0.0,0.0,2.9,3.6,32.1,19085.0,2.913400052397151,3.3692900966102997,0.0,0.0,3.03,3.57,64.29,19085.0,5.488153523710184,8.31070638809738,0.0,3.12,3.33,3.7,76.32,19085.0,8.750071260151953,10.860865810659,0.0,0.0,5.0,15.52,166.67,19085.0,1.911014614252838,2.818881835402153,0.0,0.0,1.429245283018868,2.856,124.21739130434783
Dips/Hummus/Pate,1.0,13.0,,13.0,13.0,13.0,13.0,13.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,190.0,,190.0,190.0,190.0,190.0,190.0,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,1.0,6.0,,6.0,6.0,6.0,6.0,6.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,14.0,,14.0,14.0,14.0,14.0,14.0,1.0,3.1578947368421053,,3.1578947368421053,3.1578947368421053,3.1578947368421053,3.1578947368421053,3.1578947368421053
Dough Based Products / Meals,1449.0,51.94079365079376,40.45003135978768,3.09,14.08,65.73,72.0,450.0,1449.0,14.704623878536921,58.083251233973094,0.0,0.0,9.0,14.0,625.0,1449.0,306.0,363.3691181458593,38.0,122.0,349.0,368.0,3750.0,1449.0,3.0135955831608023,2.9930954346771874,0.0,1.4,2.8,4.0,37.5,1449.0,10.084927536231847,13.75234020309758,0.0,5.73,9.62,12.0,150.0,1449.0,5.743533471359563,6.039586210524297,0.0,3.17,4.58,7.02,75.0,1449.0,6.248957902001383,19.011952033258982,0.0,1.92,3.08,6.34,237.5,1449.0,3.588667383139311,1.4710955474272294,0.0,2.870786516853933,3.3333333333333335,3.8095238095238093,14.808219178082192
Dough Based Products / Meals - Not Ready to Eat - Savoury (Frozen),1.0,13.66,,13.66,13.66,13.66,13.66,13.66,1.0,15.0,,15.0,15.0,15.0,15.0,15.0,1.0,132.0,,132.0,132.0,132.0,132.0,132.0,1.0,1.8,,1.8,1.8,1.8,1.8,1.8,1.0,6.61,,6.61,6.61,6.61,6.61,6.61,1.0,2.64,,2.64,2.64,2.64,2.64,2.64,1.0,5.73,,5.73,5.73,5.73,5.73,5.73,1.0,5.007575757575758,,5.007575757575758,5.007575757575758,5.007575757575758,5.007575757575758,5.007575757575758
